Coordinates,Y,X,Type
"40.740541671748, -73.979477060018",40.74054167,-73.97947706,B
"40.742520471449, -73.978236873624",40.74252047,-73.97823687,B
"40.743249906573, -73.974315903138",40.74324991,-73.9743159,B
"40.746782920671, -73.978515991",40.74678292,-73.97851599,B
"40.748607074259, -73.975995552715",40.74860707,-73.97599555,B
"40.740541671748, -73.979477060018",40.74054167,-73.97947706,B
"40.744078248154, -73.983404316932",40.74407825,-73.98340432,B
"40.743447007026, -73.984446438953",40.74344701,-73.98444644,B
"40.746618970645, -73.980147947548",40.74661897,-73.98014795,B
"40.74355488212, -73.979718794105",40.74355488,-73.97971879,B
"40.748707531369, -73.981262405394",40.74870753,-73.98126241,B
"40.744940201167, -73.986051908688",40.7449402,-73.98605191,B
"40.746922269811, -73.985655863763",40.74692227,-73.98565586,B
"40.750730713248, -73.978830982921",40.75073071,-73.97883098,B
"40.744182770487, -73.980290272264",40.74418277,-73.98029027,B
"40.75166458299, -73.972590991283",40.75166458,-73.97259099,B
"40.751277758158, -73.97153948153",40.75127776,-73.97153948,B
"40.75166458299, -73.972590991283",40.75166458,-73.97259099,B
"40.75166458299, -73.972590991283",40.75166458,-73.97259099,B
"40.756757511178, -73.998319326899",40.75675751,-73.99831933,B
"40.755566694194, -73.998483276925",40.75556669,-73.99848328,B
"40.756362765448, -73.997382313943",40.75636277,-73.99738231,B
"40.75815976167, -73.999810216017",40.75815976,-73.99981022,B
"40.756757511178, -73.998319326899",40.75675751,-73.99831933,B
"40.756311174834, -73.999171431176",40.75631117,-73.99917143,B
"40.752847018071, -73.983419655815",40.75284702,-73.98341966,B
"40.756757511178, -73.998319326899",40.75675751,-73.99831933,B
"40.757456268537, -73.998123358003",40.75745627,-73.99812336,B
"40.755566694194, -73.998483276925",40.75556669,-73.99848328,B
"40.756757511178, -73.998319326899",40.75675751,-73.99831933,B
"40.757456268537, -73.998123358003",40.75745627,-73.99812336,B
"40.756362765448, -73.997382313943",40.75636277,-73.99738231,B
"40.75815976167, -73.999810216017",40.75815976,-73.99981022,B
"40.756311174834, -73.999171431176",40.75631117,-73.99917143,B
"40.758500569853, -73.996317728421",40.75850057,-73.99631773,B
"40.756273204813, -73.994223677551",40.7562732,-73.99422368,B
"40.75517580414, -73.992815769274",40.7551758,-73.99281577,B
"40.756147601994, -73.997017030603",40.7561476,-73.99701703,B
"40.757456268537, -73.998123358003",40.75745627,-73.99812336,B
"40.755398637036, -73.99524694029",40.75539864,-73.99524694,B
"40.752471466899, -73.9863382345",40.75247147,-73.98633823,B
"40.765586337431, -73.982335205182",40.76558634,-73.98233521,B
"40.76743295452, -73.986602348269",40.76743295,-73.98660235,B
"40.762919006293, -73.977792548937",40.76291901,-73.97779255,B
"40.763553222997, -73.975285354059",40.76355322,-73.97528535,B
"40.76669886744, -73.984966200769",40.76669887,-73.9849662,B
"40.769230830841, -73.984781966538",40.76923083,-73.98478197,B
"40.766734658166, -73.978782451702",40.76673466,-73.97878245,B
"40.766824805535, -73.987219172524",40.76682481,-73.98721917,B
"40.76418576332, -73.976940863755",40.76418576,-73.97694086,B
"40.768193360776, -73.990478727031",40.76819336,-73.99047873,B
"40.764895920067, -73.994288050567",40.76489592,-73.99428805,B
"40.764345564304, -73.985077931539",40.76434556,-73.98507793,B
"40.769230830841, -73.984781966538",40.76923083,-73.98478197,B
"40.767750419102, -73.991372908462",40.76775042,-73.99137291,B
"40.769629641794, -73.988246542396",40.76962964,-73.98824654,B
"40.76183926966, -73.980977299944",40.76183927,-73.9809773,B
"40.769230830841, -73.984781966538",40.76923083,-73.98478197,B
"40.763376951573, -73.984882633195",40.76337695,-73.98488263,B
"40.764345564304, -73.985077931539",40.76434556,-73.98507793,B
"40.763553222997, -73.975285354059",40.76355322,-73.97528535,B
"40.760943140258, -73.978958052573",40.76094314,-73.97895805,B
"40.772303032032, -73.991921044767",40.77230303,-73.99192104,B
"40.767376083307, -73.990334390658",40.76737608,-73.99033439,B
"40.764345564304, -73.985077931539",40.76434556,-73.98507793,B
"40.766083635747, -73.989202330815",40.76608364,-73.98920233,B
"40.76288807707, -73.978725622398",40.76288808,-73.97872562,B
"40.768893165872, -73.956515506821",40.76889317,-73.95651551,B
"40.769586307355, -73.96028996164",40.76958631,-73.96028996,B
"40.773232435236, -73.962120066379",40.77323244,-73.96212007,B
"40.771429823139, -73.96256581599",40.77142982,-73.96256582,B
"40.769586307355, -73.96028996164",40.76958631,-73.96028996,B
"40.770469005578, -73.958310575205",40.77046901,-73.95831058,B
"40.759306573663, -73.976589494374",40.75930657,-73.97658949,B
"40.756959012131, -73.967716411672",40.75695901,-73.96771641,B
"40.760290106181, -73.973774851288",40.76029011,-73.97377485,B
"40.760148368198, -73.969471498378",40.76014837,-73.9694715,B
"40.756660867835, -73.964933703637",40.75666087,-73.9649337,B
"40.772527978184, -73.989841870028",40.77252798,-73.98984187,B
"40.77094673215, -73.986757329659",40.77094673,-73.98675733,B
"40.774591183651, -73.983965150073",40.77459118,-73.98396515,B
"40.773423039715, -73.981193338512",40.77342304,-73.98119334,B
"40.771706886949, -73.990437823343",40.77170689,-73.99043782,B
"40.791153237592, -73.97344745415",40.79115324,-73.97344745,B
"40.791203109916, -73.979403047813",40.79120311,-73.97940305,B
"40.786235994094, -73.969348871135",40.78623599,-73.96934887,B
"40.783492555275, -73.975043955247",40.78349256,-73.97504396,B
"40.793551970643, -73.973148304025",40.79355197,-73.9731483,B
"40.803822568061, -73.967826130785",40.80382257,-73.96782613,B
"40.804088051563, -73.964317293747",40.80408805,-73.96431729,B
"40.793556790237, -73.963354385441",40.79355679,-73.96335439,B
"40.809945338783, -73.955011961029",40.80994534,-73.95501196,B
